date,year,month,day,region,country,category,medicine,age_group,units_sold,unit_price,stock_level,expiry_days_remaining,covid_flag
2024-12-22,2024,12,22,East Asia,South Korea,Cardiovascular,Amlodipine,46-65,448,29.71,763,485,0
2025-12-20,2025,12,20,Middle East,UAE,Cough_Cold,Cough Syrup,13-25,19,12.05,1492,89,0
2025-03-26,2025,3,26,Europe,France,Pain_Relief,Paracetamol,65+,140,9.28,273,710,0
2022-01-26,2022,1,26,Oceania,New Zealand,Cardiovascular,Atorvastatin,46-65,419,26.23,508,226,1
2022-06-04,2022,6,4,South America,Colombia,Diabetes,Metformin,65+,358,15.91,564,129,1
2025-09-29,2025,9,29,Middle East,UAE,Cough_Cold,Cough Syrup, 26-45 ,261,13.39,398,679,0
2021-05-29,2021,5,29,South Asia,Bangladesh,Respiratory,Salbutamol,13-25,58,19.82,1285,880,1
2021-10-26,2021,10,26,East Asia,South Korea, Chronic ,Omeprazole,46-65,174,44.74,975,594,1
2021-10-23,2021,10,23,Africa, South Africa ,Cardiovascular,Amlodipine,46-65,220,21.72,511,357,1
2024-10-06,2024,10,6,Europe,Germany,Cardiovascular,Amlodipine,65+,196,20.73,1475,835,0
2021-02-26,2021,2,26,East Asia,China,Vitamin,Vitamin C,46-65,500,8.7,,453,1
2021-05-11,2021,5,11,East Asia,Japan,Cough_Cold,Cough Syrup,26-45,140,10.68,1515,,1
2020-09-12,2020,9,12,South Asia,Bangladesh,Cough_Cold,Cough Syrup,0-12,46,11.26,902,657,1
2020-11-21,2020,11,21,South America,Argentina,Respiratory,Salbutamol,26-45,65,21.78,1134,871,1
2020-07-22,2020,7,22,North America,USA,Vitamin,Vitamin C,13-25,292,10.84,48,494,1
2021-04-28,2021,4,28,North America,Canada,Cardiovascular,Amlodipine,65+,305,22.63,1209,496,1
2024-06-19,2024,6,19,South Asia,India,Vitamin,Vitamin C,13-25,220,11.02,656,420,0
2020-03-08,2020,3,8,Africa,South Africa,Vitamin,Vitamin C,46-65,28,11.34,616,532,1
2022-02-07,2022,2,7,Africa,South Africa,Cardiovascular,Amlodipine,46-65,357,29.52,762,409,1
2025-08-23,2025,8,23,South Asia,India,Respiratory,Salbutamol,65+,402,22.13,1547,741,0
2025-06-05,2025,6,5,South America,Argentina,Antibiotic,Azithromycin,26-45,306,34.32,1567,719,0
2023-02-11,2023,2,11,South America,Colombia,Chronic,Omeprazole,13-25,20,43.77,202,472,0
2024-07-23,2024,7,23,Middle East,UAE,Respiratory,Salbutamol,65+,150,23.74,1566,252,0
2021-10-19,2021,10,19,South Asia,Bangladesh,Respiratory,Salbutamol,46-65,448,22.76,49,581,1
2021-08-25,2021,8,25,Oceania,New Zealand,Respiratory,Salbutamol,46-65,292,17.12,104,441,1
2022-04-16,2022,4,16,Europe,UK,Vitamin,Vitamin C,26-45,217,11.21,1515,80,1
2025-01-20,2025,1,20,Oceania,New Zealand,Cardiovascular,Atorvastatin,46-65,357,26.45,1383,203,0
2021-09-19,2021,9,19,South Asia,India,Vitamin,Vitamin C,26-45,435,9.99,657,43,1
2023-07-27,2023,7,27,Europe,France,Vitamin,Vitamin C,Unknown,395,9.02,38,838,0
2023-09-04,2023,9,4,Europe,France,Respiratory,Salbutamol,46-65,498,22.52,33,252,0
2022-01-02,2022,1,2,South America,Colombia,Respiratory,Salbutamol,46-65,449,17.04,24,206,1
2020-05-15,2020,5,15,East Asia,China,Antibiotic,Azithromycin,0-12,289,34.33,1387,672,1
2021-09-25,2021,9,25,North America,Canada,Respiratory,Salbutamol,26-45,303,22.4,45,213,1
2021-04-10,2021,4,10,East Asia,China,Chronic,Omeprazole,65+,262,34.36,300,792,1
2024-03-05,2024,3,5,South America,Brazil,Cough_Cold,Cough Syrup,65+,367,10.2,834,209,0
2021-07-16,2021,7,16,Middle East,UAE,Respiratory,Salbutamol,65+,439,18.56,1120,860,1
2025-05-23,2025,5,23,East Asia,South Korea,Antibiotic,Azithromycin,26-45,52,26.99,100,826,0
2025-10-10,2025,10,10,East Asia,Japan,Diabetes,Metformin,65+,86,13.73,541,773,0
2022-12-14,2022,12,14,South Asia,India,Diabetes,Metformin,46-65,482,12.49,274,635,1
2025-10-02,2025,10,2,North America,USA,Vitamin,Vitamin C,13-25,106,9.13,1749,30,0
2020-10-06,2020,10,6,Oceania,Australia,Diabetes,Metformin,26-45,18,14.34,515,983,1
2022-01-25,2022,1,25,East Asia,Japan,Cardiovascular,Amlodipine,0-12,440,28.06,198,275,1
2020-10-15,2020,10,15,East Asia,Japan,Vitamin,Vitamin C,0-12,350,11.73,631,746,1
2022-11-14,2022,11,14,Middle East,Saudi Arabia,Antibiotic,Amoxicillin,46-65,144,29.0,813,258,1
2020-05-20,2020,5,20,East Asia,Japan,Vitamin,Vitamin C,0-12,482,9.54,1021,334,1
2021-06-12,2021,6,12,South Asia,India,Respiratory,Salbutamol,13-25,425,17.36,386,380,1
2020-10-20,2020,10,20,Oceania,Australia,Antibiotic,Azithromycin,46-65,111,30.67,1784,538,1
2020-01-23,2020,1,23,South Asia,India,Chronic,Omeprazole,46-65,371,43.45,593,434,1
2024-01-26,2024,1,26,South America,Argentina,Cardiovascular,Atorvastatin,65+,83,20.27,,298,0
2020-04-17,2020,4,17,Oceania,Australia,Respiratory,Salbutamol,26-45,398,22.14,463,451,1
2023-12-14,2023,12,14,Europe,Italy,Cough_Cold,Cough Syrup,0-12,98,10.61,1861,751,0
2020-10-04,2020,10,4,Europe,Germany,Vitamin,Vitamin C,13-25,292,8.88,435,980,1
2024-03-27,2024,3,27,Middle East,Saudi Arabia,Respiratory,Salbutamol,26-45,371,19.13,797,146,0
2021-10-07,2021,10,7,Middle East,UAE,Antibiotic,Amoxicillin,0-12,193,30.39,692,808,1
2023-08-13,2023,8,13,South Asia,Bangladesh,Cough_Cold,Cough Syrup,13-25,203,11.06,1168,983,0
2020-02-08,2020,2,8,North America,Mexico,Antibiotic,Amoxicillin,13-25,254,32.33,60,121,1
2024-01-21,2024,1,21,Oceania,New Zealand,Pain_Relief,Ibuprofen,65+,428,9.52,46,47,0
2021-05-03,2021,5,3,Europe,Germany,Diabetes,Metformin,65+,450,16.81,1406,577,1
2020-03-19,2020,3,19,South Asia,Bangladesh,Pain_Relief,Ibuprofen,65+,391,7.0,557,64,1
2025-03-17,2025,3,17,Middle East,UAE,Vitamin,Vitamin C,26-45,110,8.79,45,568,0
2025-01-21,2025,1,21,Europe,France,Pain_Relief,Ibuprofen,13-25,71,8.72,334,416,0
2022-10-03,2022,10,3,Europe,Germany,Cough_Cold,Cough Syrup,26-45,86,13.55,1446,718,1
2021-03-27,2021,3,27,Africa,Nigeria,Vitamin,Vitamin C,0-12,256,9.08,323,233,1
2025-10-11,2025,10,11,South Asia,India,Pain_Relief,Paracetamol,46-65,463,7.36,1293,223,0
2024-04-28,2024,4,28,Oceania,New Zealand,Antibiotic,Amoxicillin,26-45,434,24.25,1224,832,0
2022-02-09,2022,2,9,Oceania,New Zealand,Cardiovascular,Atorvastatin,65+,40,23.3,680,49,1
2022-07-17,2022,7,17,Oceania,New Zealand,Respiratory,Salbutamol, 46-65 ,143,16.65,640,875,1
2022-12-06,2022,12,6,Middle East,Saudi Arabia,Respiratory,Salbutamol,46-65,391,19.68,182,545,1
2023-03-01,2023,3,1,Europe,France,Diabetes,Metformin,13-25,209,17.0,878,189,0
2022-12-02,2022,12,2,Africa,South Africa,Vitamin,Vitamin C,13-25,262,9.75,1111,625,1
2025-03-12,2025,3,12,Oceania,New Zealand,Cardiovascular,Amlodipine,13-25,451,25.87,43,295,0
2024-02-13,2024,2,13,South America,Brazil,Respiratory,Salbutamol,26-45,347,18.96,1290,542,0
2022-05-23,2022,5,23,South America,Argentina,Chronic,Omeprazole,65+,48,41.49,1498,792,1
2025-09-09,2025,9,9,Oceania,New Zealand,Diabetes,Metformin,46-65,94,13.83,795,567,0
2021-02-02,2021,2,2,Middle East,Saudi Arabia,Cough_Cold,Cough Syrup,46-65,238,12.06,216,699,1
2022-12-07,2022,12,7,North America,USA,Respiratory,Salbutamol,0-12,488,16.78,264,959,1
2020-04-13,2020,4,13,Middle East,UAE,Respiratory,Salbutamol,26-45,495,18.71,1197,686,1
2021-02-05,2021,2,5,Oceania,New Zealand,Respiratory,Salbutamol,26-45,328,20.67,65,655,1
,2024,11,25,South Asia,Bangladesh,Chronic,Omeprazole,46-65,267,43.33,1498,469,0
2020-06-12,2020,6,12,South Asia,Bangladesh,Vitamin,Vitamin C,13-25,416,10.54,1158,934,1
2023-06-30,2023,6,30,South America,Colombia,Antibiotic, Azithromycin ,26-45,143,34.13,401,431,0
2025-12-12,2025,12,12,North America,Mexico,Diabetes,Metformin,13-25,435,17.27,-1401,89,0
2020-03-28,2020,3,28,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,241,13.64,418,89,1
2025-12-10,2025,12,10,Europe,Italy,Diabetes,Metformin,65+,363,13.96,1294,611,0
9999-99-99,2020,7,8,East Asia,Brazil,Cardiovascular,Atorvastatin,46-65,304,22.09,96,687,1
2022-11-29,2022,11,29,North America,Canada,Vitamin,Vitamin C,46-65,465,10.81,865,601,1
2023-09-04,2023,9,4,Middle East,Saudi Arabia,Chronic,Omeprazole,46-65,256,34.48,1397,672,0
2023-03-25,2023,3,25,Africa,South Africa,Cardiovascular,Atorvastatin,26-45,189,24.16,931,967,0
2024-11-18,2024,11,18,East Asia,Japan,Respiratory,Salbutamol,66-80,43,17.49,127,192,0
2024-08-24,2024,8,24,North America,Mexico,Pain_Relief,Ibuprofen,65+,311,7.86,935,540,0
2022-10-19,2022,10,19,East Asia,China,Cardiovascular,Atorvastatin,46-65,167,27.86,433,246,1
2020-07-31,2020,7,31,North America,Canada,Pain_Relief,Paracetamol,65+,404,8.27,290,423,1
2025-07-31,2025,7,31,Oceania,Australia,Diabetes,Metformin,65+,10,17.88,337,670,0
2023-05-15,2023,5,15,South America,Argentina,Diabetes,Metformin,46-65,243,14.51,228,595,0
2025-01-17,2025,1,17,,Mexico,Cough_Cold,Cough Syrup,0-12,22,10.38,940,-35,0
2022-05-11,2022,5,11,North America,Canada,Diabetes,Metformin,0-12,182,17.98,1194,962,1
2020-04-14,2020,4,14,Middle East,Saudi Arabia,Respiratory,Salbutamol,65+,348,17.71,712,161,1
2021-12-03,2021,12,3,South Asia,India,Cardiovascular,Atorvastatin,46-65,331,28.92,26,60,1
2022-03-09,2022,3,9,North America,USA,Cardiovascular,Amlodipine,65+,12,22.84,737,256,1
2021-05-27,2021,5,27,Europe,Germany,Pain_Relief,Paracetamol,0-12,268,8.19,873,559,1
2020-02-28,2020,2,28,Africa,Nigeria,Respiratory,Salbutamol,0-12,96,23.25,1818,584,1
2020-12-09,2020,12,9,South America,Colombia,Vitamin,Vitamin C,26-45,234,9.4,49,755,1
9999-99-99,2025,3,1,Middle East,Saudi Arabia,Cardiovascular,Amlodipine, 46-65 ,163,28.35,1058,353,0
2022-07-26,2022,7,26,Oceania,New Zealand,Antibiotic,Amoxicillin,46-65,162,35.67,1276,873,Yes
2020-05-02,2020,5,2,Oceania,Australia,Vitamin,Vitamin C,26-45,333,11.33,1120,245,1
2022-08-29,2022,8,29,Oceania,New Zealand,Respiratory,Salbutamol,26-45,383,17.1,34,811,1
2022-06-18,2022,6,18,South America,Argentina, Vitamin,Vitmin C,0-12,226,10.37,1549,608,1
2024-02-29,2024,2,29,Europe,France,Cardiovascular,Amlodipine,46-65,200,25.8,761,815,0
2023-12-23,2023,12,23, South Asia ,Bangladesh,Pain_Relief,Paracetamol,13-25,199,9.02,114,920,0
2021-08-16,2021,8,16,Africa,Nigeria,Respiratory,Salbutamol,65+,93,18.54,1222,373,1
2023-08-16,2023,8,16,Middle East,UAE,Diabetes,Metformin,46-65,433,16.18,601,799,0
2023-05-29,2023,5,29,East Asia,South Korea,Diabetes,Metformin,26-45,398,12.0,1572,915,0
2021-02-25,2021,2,25,Africa,South Africa,Cardiovascular,Amlodipine,65+,361,28.0,642,362,1
2024-03-19,2024,3,19,South America,Argentina,Respiratory,Salbutamol,26-45,39,19.98,405,71,0
2025-11-17,2025,11,17,Europe,Germany,Cough_Cold,Cough Syrup,13-25,153,13.43,164,611,0
2022-11-30,2022,11,30,Oceania,New Zealand,Cardiovascular,Amlodipine,65+,265,22.94,164,179,1
9999-99-99,2022,8,27,North America,USA,Antibiotic,Amoxicillin,46-65,259,30.83,2,668,1
2022-02-11,2022,2,11,Oceania,New Zealand,Cardiovascular, Atorvastatin ,13-25,142,26.92,276,494,1
2022-12-06,2022,12,6,South Asia,Bangladesh,Antibiotic,Azithromycin,13-25,118,25.23,1594,600,No
2025-06-16,2025,6,16,East Asia,South Korea,Diabetes,Metformin,46-65,450,15.07,1113,686,0
2024-06-06,2024,6,6,Oceania,Australia,Chronic,Omeprazole,65+,50000,10000,948,883,0
2023-05-17,2023,5,17,North America,Canada,Antibiotic,Azithromycin,46-65,99,30.55,943,176,0
2021-05-22,2021,5,22,Oceania,Australia,Antibiotic,Amoxicillin,26-45,479,34.28,1192,405,1
2020-04-23,2020,4,23,South America,Argentina,Chronic,Omeprazole,65+,258,42.54,1195,304,1
2024-03-27,2024,3,27,South Asia, India ,Cough_Cold,Cough Syrup,65+,79,9.63,1440,164,0
2021-11-08,2021,11,8,Middle East,UAE,Cardiovascular,Amlodipine,0-12,474,27.99,840,626,1
2024-02-19,2024,2,19,North America,Canada,Pain_Relief,Paracetamol,46-65,101,6.76,313,466,0
2020-08-01,2020,8,1,South America,Colombia,Chronic,Omeprazole,46-65,403,39.39,1421,973,1
2024-08-17,2024,8,17,South America,Colombia,Pain_Relief,Ibuprofen,13-25,74,9.52,521,308,0
2025-09-25,2025,9,25,South Asia,Bangladesh,Vitamin,Vitamin C,0-12,144,11.75,1384,362,0
2022-05-18,2022,5,18,North America,Canada,Chronic,Omeprazole,46-65,469,32.35,712,325,1
2024-11-29,2024,11,29,North America,USA,Cough_Cold,Cough Syrup,0-12,496,11.34,997,187,0
2025-03-24,2025,3,24,Middle East,UAE,Diabetes,Metformin,46-65,335,13.08,423,874,0
2023-05-20,2023,5,20,Europe,France,Respiratory,Salbutamol,13-25,279,22.2,383,249,0
2024-07-05,2024,7,5,Africa,Nigeria, Diabetes ,Metformin,0-12,217,17.11,140,40,0
2020-03-30,2020,3,30, Europe ,Germany,Respiratory,Salbutamol,26-45,337,19.0,195,668,1
2021-09-08,2021,9,8,Middle East,Saudi Arabia,Vitamin,Vitamin C,13-25,380,11.43,859,398,1
2020-05-02,2020,5,2,South Asia,India,Pain_Relief,Paracetamol,26-45,115,9.23,69,872,1
2021-06-22,2021,6,22,Middle East,Saudi Arabia,Respiratory,Salbutamol,26-45,420,19.39,1019,32,1
2022-04-10,2022,4,10,Middle East,Saudi Arabia,Antibiotic,Amoxicillin,13-25,449,26.41,40,94,1
2025-09-14,2025,9,14,East Asia,Japan,Cardiovascular,Amlodipine,46-65,307,21.04,463,816,0
2024-07-02,2024,7,2,Middle East,Saudi Arabia,Chronic,Omeprazole,46-65,159,44.53,756,336,0
2023-09-17,2023,9,17,South Asia,India,Chronic,Omeprazole,65+,296,45.59,17,922,0
2023-02-23,2023,2,23,Oceania,New Zealand,Diabetes,Metformin,26-45,489,14.44,603,661,0
2022-11-30,2022,11,30,Oceania,New Zealand,Chronic,Omeprazole,26-45,402,41.77,1005,41,1
2023-05-11,2023,5,11,Middle East,Saudi Arabia,Respiratory,Salbutamol,13-25,284,22.72,315,78,0
2022-09-01,2022,9,1,Middle East,Saudi Arabia,Cardiovascular,Amlodipine,Unknown,360,26.74,1029,455,1
2025-12-12,2025,12,12,Oceania,New Zealand,Cardiovascular,Atorvastatin,46-65,355,22.82,1337,137,0
2022-04-19,2022,4,19,Africa,South Africa,Vitamin,Vitamin C, 13-25 ,78,9.69,542,153,1
2022-02-23,2022,2,23,Middle East,UAE,Vitamin,Vitamin C,26-45,75,10.22,349,283,1
2025-05-11,2025,5,11,North America,Canada,Diabetes,Metformin,65+,100,14.04,1851,919,0
2024-08-29,2024,8,29,Oceania,New Zealand,Antibiotic,Azithromycin,26-45,404,28.86,1552,764,0
2022-05-14,2022,5,14,South Asia,India,Cardiovascular,Atorvastatin,13-25,82,25.45,1415,63,1
2025-05-21,2025,5,21,South Asia,India,Pain_Relief,Ibuprofen,13-25,43,6.69,581,522,0
2023-01-28,2023,1,28,South Asia,Bangladesh,Cardiovascular,Atorvastatin,13-25,42,-24.77,913,468,0
2025-03-31,2025,3,31,South Asia,India,Pain_Relief,Paracetamol,13-25,314,9.18,21,487,0
2024-08-08,2024,8,8,South Asia,India,Vitamin,Vitamin C,13-25,135,8.93,891,861,0
2024-06-13,2024,6,13,Europe,Italy,Diabetes,Metformin,26-45,20,13.87,1785,970,0
2022-02-23,2022,2,23,North America,USA,Respiratory,Salbutamol,26-45,136,17.96,93,974,1
2020-12-26,2020,12,26,Oceania,Australia,Vitamin,Vitamin C,0-12,475,8.38,28,717,1
2021-10-10,2021,10,10,South America,Brazil,Cough_Cold,Cough Syrup,26-45,380,13.08,567,498,1
2024-09-18,2024,9,18,South Asia,Bangladesh,Diabetes,Metformin,65+,135,14.99,149,809,0
2025-06-18,2025,6,18,East Asia,China,Diabetes,Metformin,26-45,445,13.45,1019,748,0
2024-02-20,2024,2,20,Middle East,UAE,Cough_Cold,Cough Syrup,13-25,250,12.81,671,841,0
2020-07-14,2020,7,14,Oceania,New Zealand,Vitamin,Vitamin C,0-12,375,10.04,740,82,1
2024-09-30,2024,9,30,Africa,South Africa,Vitamin,Vitamin C,0-12,136,8.88,1238,589,0
2021-07-20,2021,7,20,South Asia,Bangladesh,Cardiovascular,Amlodipine,26-45,61,26.86,236,556,1
,2024,9,14,Africa,South Africa,Antibiotic,Amoxicillin,46-65,75,34.75,1015,896,0
2025-08-30,2025,8,30,South America,Argentina,Cough_Cold,Cough Syrup,0-12,205,11.74,1238,479,0
2025-09-03,2025,9,3,Africa,South Africa,Respiratory, Salbutamol ,13-25,92,17.09,691,201,0
2020-05-10,2020,5,10,North America, Mexico ,Respiratory,Salbutamol,46-65,202,17.8,349,330,1
2024-06-27,2024,6,27,Europe,Germany,Cough_Cold,Cough Syrup,0-12,28,11.7,646,966,0
2021-11-02,2021,11,2,South America,Brazil,Vitamin,Vitamin C,0-12,372,8.34,430,553,1
2023-12-28,2023,12,28,North America, Mexico ,Antibiotic,Azithromycin,26-45,465,24.06,1260,393,0
2024-05-10,2024,5,10,Middle East,UAE,Cardiovascular,Atorvastatin,46-65,378,26.57,552,484,0
2020-03-01,2020,3,1,South America,Brazil,Vitamin,Vitamin C,13-25,472,11.46,10,429,1
2023-02-21,2023,2,21,Europe,Germany,Antibiotic,Amoxicillin,0-12,402,31.04,12,67,0
2024-08-09,2024,8,9,Middle East,UAE,Cardiovascular,Atorvastatin,0-12,222,20.44,213,692,0
2021-05-01,2021,5,1,Africa,Nigeria,Respiratory,Salbutamol,26-45,401,18.6,1144,543,1
2020-03-05,2020,3,5,South Asia,India,Pain_Relief,Ibuprofen,0-12,370,8.31,1683,788,1
2023-04-14,2023,4,14,South Asia,India,Cardiovascular,Atorvastatin,26-45,93,23.95,1449,429,0
2020-09-12,2020,9,12,Europe,Italy,Diabetes,Metformin,46-65,407,17.61,799,336,1
2021-05-31,2021,5,31,East Asia,China,Cardiovascular,Atorvastatin,46-65,177,26.0,1046,499,1
2020-02-21,2020,2,21,Africa,Nigeria, Respiratory ,Salbutamol,46-65,410,21.36,43,137,1
2021-08-08,2021,8,8,South Asia,India,Chronic,Omeprazole,26-45,55,32.59,1924,157,1
2020-10-04,2020,10,4,Europe,Germany,Antibiotic,Amoxicillin,0-12,433,33.23,445,531,1
2024-06-24,2024,6,24,South Asia,Bangladesh,Pain_Relief,Ibuprofen,26-45,46,6.8,538,41,0
2021-10-17,2021,10,17,East Asia,China,Chronic,Omeprazole,26-45,481,47.86,335,690,1
2020-01-11,2020,1,11,South Asia,South Africa,Respiratory,Salbutamol,26-45,27,20.25,907,729,1
2020-12-17,2020,12,17,Europe,UK,Chronic,Omeprazole,65+,48,37.83,887,803,1
2022-11-20,2022,11,20,North America,USA,Antibiotic,Amoxicillin,65+,495,24.24,365,655,1
2023-07-27,2023,7,27,Africa,Nigeria,Pain_Relief,Paracetamol,26-45,106,7.92,1144,976,0
2024-03-28,2024,3,28,South Asia,Bangladesh,Diabetes,Metformin,65+,364,14.7,20,492,0
2020-05-09,2020,5,9,South Asia,India,Chronic,Omeprazole,65+,56,39.64,984,356,1
2021-05-16,2021,5,16,South America,Argentina,Antibiotic,Amoxicillin,0-12,396,24.53,101,865,1
2022-03-18,2022,3,18,Middle East,UAE,Diabetes,Metformin,,281,17.73,612,396,1
2025-10-03,2025,10,3,Oceania,New Zealand,Diabetes,Metformin,65+,281,12.84,528,101,0
2025-04-26,2025,4,26,Middle East,UAE,Vitamin,Vitamin C,13-25,51,8.07,1869,585,0
2021-09-25,2021,9,25,South Asia,India,vitamin,Vitamin C,46-65,479,9.67,18,975,1
2024-09-15,2024,9,15,Oceania,Australia,Cardiovascular,Amlodipine,26-45,489,29.1,23,492,0
2023-01-08,2023,1,8,Middle East,Saudi Arabia,Chronic,Omeprazole,65+,199,35.27,1620,926,0
2024-08-09,2024,8,9,Europe,Germany,Cardiovascular,Atorvastatin,13-25,412,20.96,22,705,0
2020-07-14,2020,7,14,North America,Mexico,Cough_Cold,Cough Syrup,0-12,410,13.29,1194,598,1
2023-03-10,2023,3,10,North America,Mexico,Chronic,Omeprazole,0-12,127,40.45,1142,65,0
2024-02-15,2024,2,15,South Asia,India,Diabetes,Metformin,65+,195,15.32,1202,617,0
2020-03-28,2020,3,28,North America,Canada,Antibiotic,Azithromycin,13-25,401,24.82,952,251,1
2020-10-01,2020,10,1,Europe,Germany,Cough_Cold,Cough Syrup,13-25,161,11.02,650,853,1
2025-11-30,2025,11,30,Europe,Italy,Diabetes,Metformin, 65+ ,258,12.9,922,256,0
2020-02-29,2020,2,29,Oceania,Australia,Cardiovascular,Amlodipine,26-45,110,20.72,650,847,1
2022-10-15,2022,10,15,East Asia,South Korea,Antibiotic,Amoxicillin,26-45,237,25.82,31,134,1
2021-02-15,2021,2,15,Oceania,Australia,Chronic,Omeprazole,46-65,38,37.19,668,471,1
2024-09-27,2024,9,27,South Asia,Bangladesh, Diabetes ,Metformin,46-65,488,12.53,,414,0
2022-02-28,2022,2,28,North America,Mexico,Cough_Cold,Cough Syrup,46-65,239,13.2,1677,987,1
,2020,7,2,Europe,Germany,Chronic,Omeprazole,65+,115,47.23,138,181,1
2023-04-10,2023,4,10,North America,Mexico,Cough_Cold,Cough Syrup,0-12,414,10.9,25,873,0
2025-05-05,2025,5,5,North America,Canada,Cardiovascular,Amlodipine,0-12,80,20.95,737,827,0
2023-04-23,2023,4,23,South America, Brazil ,Chronic,Omeprazole,13-25,203,45.89,1461,350,0
2021-11-15,2021,11,15,North America,Mexico,Vitamin,,65+,426,11.43,327,106,1
2020-12-06,2020,12,6,Africa,South Africa,Antibiotic,Azithromycin,26-45,293,27.14,1065,260,1
2022-11-13,2022,11,13,Europe,Italy,Diabetes,Metformin,26-45,414,17.8,62,35,1
2022-10-06,2022,10,6,Africa,Nigeria,Vitamin,Vitamin C,26-45,420,8.78,1126,300,1
2020-05-10,2020,5,10,North America,USA,Vitamin,Vitamin C,13-25,376,10.24,979,459,1
2022-01-17,2022,1,17, Europe ,France,Antibiotic,Azithromycin,0-12,178,26.31,1264,793,1
2021-11-24,2021,,24,Middle East,UAE,Antibiotic,Amoxicillin,13-25,347,28.28,1108,193,1
2023-03-22,2023,3,22,Oceania,Australia,Vitamin,Vitamin C,13-25,223,8.28,847,807,0
2024-08-03,2024,8,3,South America,Argentina,Chronic,Omeprazole,65+,368,33.86,31,282,0
2023-06-10,2023,6,10,Oceania,New Zealand,Vitamin,Vitamin C,0-12,321,11.39,1615,809,0
2024-05-30,2024,5,30,Middle East,Saudi Arabia,Pain_Relief,Ibuprofen,26-45,450,6.89,33,387,0
2021-04-14,2021,4,14,South Asia,Bangladesh,Respiratory,Salbutamol,13-25,81,23.3,1078,988,1
2021-02-03,2021,2,3,North America, USA , Diabetes ,Metformin,65+,33,16.06,1484,595,1
2021-06-07,2021,6,7,Middle East,Saudi Arabia,Pain_Relief,Paracetamol,65+,122,7.26,927,566,1
2024-12-24,2024,12,24,Middle East,Saudi Arabia,Respiratory,Salbutamol,13-25,99,20.18,422,908,0
2025-03-29,2025,3,29,Oceania,Australia,Vitamin,Vitamin C,0-12,251,11.76,864,829,0
2021-02-14,2021,2,14,East Asia,Japan,Diabetes,Metformin,26-45,399,14.07,954,251,1
2024-10-28,2024,10,28,South Asia,Bangladesh,Antibiotic,Azithromycin,26-45,299,32.58,37,901,0
2021-02-28,2021,2,28,Europe,Germany,Vitamin,Vitamin C,26-45,314,9.75,217,187,1
2022-02-19,2022,2,19,North America,Canada,Pain_Relief,Paracetamol,26-45,106,9.2,1614,771,1
2023-06-30,2023,6,30,Africa,Nigeria,Cough_Cold,Cough Syrup,13-25,168,10.31,1194,407,0
2022-08-02,2022,8,2,South America,Brazil,Respiratory,Salbutamol,26-45,344,18.96,-579,835,1
2022-09-10,2022,9,10,South Asia,Bangladesh,Chronic,Omeprazole,65+,,43.04,247,63,1
2023-08-28,2023,8,28,South Asia,Bangladesh, Pain_Relief ,Ibuprofen,26-45,496,7.84,17,259,0
2023-10-09,2023,10,9,South Asia,Bangladesh,Cardiovascular,Atorvastatin,13-25,366,23.69,1372,918,0
2025-09-20,2025,9,20,Middle East,UAE,Diabetes,Metformin,65+,193,12.7,25,173,0
2021-05-05,2021,5,5,South Asia,Bangladesh,Pain_Relief,Ibuprofen,65+,416,6.67,1234,728,1
2021-08-25,2021,8,25,Oceania, New Zealand ,Cardiovascular,Amlodipine,26-45,232,20.04,930,917,1
2021-06-24,2021,6,24,South America,Argentina,Chronic,Omeprazole,46-65,345,38.55,18,981,1
2022-07-19,2022,7,19,Africa,Nigeria,Chronic,Omeprazole,65+,131,45.79,793,708,1
2023-08-13,2023,8,13,Oceania,New Zealand,Diabetes,Metformin,65+,342,17.74,420,69,0
2021-07-31,2021,7,31,Oceania,Australia,Respiratory,Salbutamol,26-45,93,19.26,1600,579,1
2022-08-08,2022,8,8,East Asia,Japan,Diabetes,Metformin,46-65,408,14.41,550,712,1
2020-05-10,2020,5,10,Europe,France,Diabetes,Metformin,65+,28,17.25,1475,619,1
2022-06-04,2022,6,4,East Asia,Japan,Antibiotic,Amoxicillin,46-65,483,28.43,432,516,1
2020-08-12,2020,8,12,Oceania,Australia,Respiratory,Salbutamol,0-12,32,20.93,950,131,1
2020-03-14,2020,3,14,North America,Canada,Cardiovascular,Amlodipine,65+,387,24.6,42,588,1
2020-08-13,2020,8,13,Africa,Nigeria,Vitamin,Vitamin C,26-45,11,10.86,1660,516,1
2020-07-30,2020,7,30,Oceania,New Zealand,Cardiovascular,Atorvastatin,13-25,117,29.29,1871,751,1
2021-09-02,2021,9,2,South Asia,India,Antibiotic,Azithromycin,0-12,480,29.65,1105,748,1
2023-08-08,2023,8,8,Middle East,UAE,Chronic,Omeprazole,26-45,405,46.93,653,578,0
2023-02-16,2023,2,16,South Asia,Bangladesh,Cardiovascular, Atorvastatin ,65+,381,20.33,514,87,0
2024-02-14,2024,2,14,South America,Argentina,Chronic,Omeprazole,26-45,346,41.74,1386,59,0
2020-10-26,2020,10,26,Europe,UK,Respiratory,Salbutamol,65+,235,17.56,30,67,1
2020-12-22,2020,12,22,South America,Brazil,Chronic, Omeprazole ,65+,463,46.42,112,709,1
2023-07-07,2023,7,7,Africa,South Africa,Cough_Cold,Cough Syrup,26-45,477,10.64,103,683,0
